description,url,District,R.,m²,Floor,Series,Price
"Продаётся 4-х комнатная квартира со всей мебелью, со встроенной",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/coekn.html,Plyavnieki Tinuzhu 12,4,78,3/9,467-th,"120,000  €"
Saulains un silts dzīvoklis -atbrīvots un pilnībā gatavs remontd,https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/bbexfm.html,Vecmilgravis Baltasbaznicas 34,1,35,5/5,103-th,"29,700 €"
"Владелец продаёт двухкомнатную квартиру. Комнаты смежные, санузе",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/gbmhe.html,Sarkandaugava Viestura pr. 31,2,46,9/9,Spec. pr.,"45,000  €"
"Pàrdodas plašs, gaišs un saulains 4 istabu dzīvoklis Purvciema c",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/geojp.html,Purvciems Nicgales 4,4,73,1/9,602-th,"87,000  €"
Продаю однокомнатную квартиру в тихом месте Вецмилгрависа на про,https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/coopf.html,Vecmilgravis Sniega 8,1,35,1/2,Pre-war house,"28,000 €"
"Pārdod plašu 3 istabu dzīvokli Imantā, 68 m² platībā. Jaunais li",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/beojgg.html,Imanta Kurzemes pr. 108A,3,68,2/5,Lit pr.,"105,500 €"
"Dzīvoklis tiek pārdots pilnībā aprīkots, ar visām mēbelēm un sad",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/dhlio.html,Plyavnieki Tinuzhu 5,1,41,9/9,Sm.fam.,"45,000  €"
Tiek pārdots gaišs trīsistabu dzīvoklis labā lokācijas vietā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcmepc.html,Centre Lugazhu 2a,3,52,1/5,Chrusch.,"54,000  €"
Īpašnieks pārdod plašu trīsistabu dzīvokli pie parkiem: dažu min,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/ghgne.html,Agenskalns M. Nometnu 1,3,110,2/9,Spec. pr.,"224,680  €"
"Dzīvoklis Rīgas tuvajā centrā, līdz t/c Origo kājām 15 min, blak",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/aknpn.html,Latgales priekshpilset Daugavpils 49,3,59,3/5,Pre-war house,"67,000  €"
Laba vietā pārdod siltu un gaišu dzīvokli. Kapņu telpa ir slēgta,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/fegci.html,Plyavnieki Dzenu 14,1,41,7/9,Sm.fam.,"36,600  €"
"Saulainā pusē, pēc remonta, atbrīvota, mājas uzturēšanu veic īpa",https://www.ss.com/msg/en/real-estate/flats/riga/krasta-st-area/adodh.html,Krasta st. area Salacas 16,3,72,12/16,104-th,"90,000  €"
Pārdodu 2 istabu dzīvokli Ķengaragā. Dzīvoklim ir nosiltinātas s,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bdphnp.html,Kengarags Aviacijas 9,2,49,5/5,Lit pr.,"55,000  €"
Продаётся светлая квартира на берегу реки с шикарным видом на ка,https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/egnij.html,Bolderaya Lielupes 1/6,2,42,3/4,Chrusch.,"33,999  €"
Pārdošanā plašs 7 istabu dzīvoklis ar kopējo platību 179m2. Augs,https://www.ss.com/msg/en/real-estate/flats/riga/chiekurkalns/cmljo.html,Chiekurkalns Viskalu 18,6,179,3/3,Stalin project,"105,000  €"
Pārdod atbrīvotu 1istabas Dzīvokli. Atbrīvots. Kanalizācija dzīv,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/ccdfo.html,Latgales priekshpilset Ludzas 51,1,34,2/2,Pre-war house,"13,000  €"
"Divas caurstaigājamas istabas – 19, 1 m² un 11, 2 m²;
Virtuve –",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/abmlm.html,Yugla Kveles 23,2,45,1/5,Chrusch.,"44,900  €"
Īpašnieks pārdod būvniecības stadijā esošo 3 istabu dzīvokli (pu,https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/bepkd.html,Ziepniekkalns Basu 3B,3,73,1/1,New,"170,000  €"
"Plašs, ļoti gaišs un silts dzīvoklis pašā izdevīgākajā rajona vi",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/ibohx.html,Plyavnieki Zemes 2,2,52,1/9,602-th,"62,450  €"
Продаю уютную квартиру с отдельной кухней и одной отдельной комн,https://www.ss.com/msg/en/real-estate/flats/riga/chiekurkalns/adxgm.html,Chiekurkalns Teraudlietuves 10,1,24,2/2,Pre-war house,"16,800  €"
"Pārdodu divistabu dzīvokli, lietuviešu projektā. Blakus Mežapark",https://www.ss.com/msg/en/real-estate/flats/riga/mangali/ccbkkb.html,Mangali Ostas pr. 4-23,2,47,1/5,Lit pr.,"43,300 €"
Pārdošanā praktisks 3-istabu dzīvoklis ar zemiem komunālajiem ma,https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/aaecp.html,Ziepniekkalns Ozolciema 18,3,78,9/9,119-th,"81,700  €"
"Продаётся студия с камином в Саркандаугаве

Продаётся квартира",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/adjco.html,Sarkandaugava Aleksha 11,1,28,1/5,Stalin project,"23,000  €"
"Elegants četru istabu dzīvoklis atjaunotā mūra ēkā Rīgas centrā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ccoik.html,Centre Chaka 54,4,108,4/5,Pre-war house,"176,000  €"
Attīstītājs pardot dzīvoklis silts un saulains divlimenu dzīvokl,https://www.ss.com/msg/en/real-estate/flats/riga/centre/flimc.html,Centre Brivibas 132,2,61,3/4,Recon.,"109,000  €"
"Pārdod 2 istabu dzīvokli ar jaunu remontu Rīgā

Gaišs 2 istabu",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/fiiol.html,Mezhciems Bikernieku 255,2,43,1/2,Spec. pr.,"54,900  €"
"Аккуратная , маленькая двушечка
Квартира под ремонт .
За всю и",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/bgekb.html,Purvciems Bikernieku 105,2,38,2/3,Chrusch.,"44,500  €"
"Īpašnieks pārdod 3. istabu dzīvokli ar divām izolētām istabām, k",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/dhebo.html,Agenskalns Kuldigas 12,3,48,2/2,Pre-war house,"95,000  €"
"Tiek pārdots mūsdienīgs, jauns un gaišs 2-ist. dzīvoklis Jaunajā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cdmof.html,Centre Rupniecibas 25,2,53,3/7,New,"207,000  €"
Pārdod 2 istabu dzīvokli Rīgas centrā – staļina laika mājā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bpmxl.html,Centre Sadovnikova 33,2,46,1/5,Stalin project,"67,000  €"
Pārdošanas cena ir zemāka par īpašumā veiktajiem ieguldījumiem.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfilk.html,Centre Rupniecibas 11,3,98,4/5,Recon.,"355,000  €"
"Pārdod 2 istabu dzīvokli. Kopējā platība: 62 m². 
Продаётся 2-к",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/afiei.html,Zolitude Anninmuizhas 20,2,62,4/6,New,"110,000  €"
"Pieejams plašs, saulains un gaumīgs autentiska dizaina vienistab",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/elhmx.html,Zolitude Anninmuizhas 7,1,50,8/13,New,"115,000  €"
Pārdod ekskluzīvu 3 istabu dzīvokli Vecrīgas sirdī modernā proje,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/hkdhe.html,Vecriga Kungu 25,3,84,4/6,New,"250,000  €"
Samazināta cena. Pārdod modernu 2 līmeņu dzīvokli ar terasēm un,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfhbk.html,Centre Silmachu 1,3,112,5/6,New,"238,000  €"
"Pārdod studio dzīvokli ar loftu Spilvē, Daugavgrīvas šosejā 1b",https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/eohxb.html,Ilguciems Daugavgrivas 1b,2,27,1/3,Stalin project,"37,000  €"
"Ar 2026.gada 10.oktobri pieejams iegādei divistabu dzīvoklis, ko",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/ddkcf.html,Sarkandaugava Patversmes 5k-1,2,45,2/5,Pre-war house,"32,000  €"
"Pārdod izīrēšanai pielāgotu dzīvokli renovētā mājā. 

Dzīvokli",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ecoop.html,Centre Matisa 85,2,50,1/5,Recon.,"85,900  €"
Продаётся 3-комнатная квартира. Гостиная совмещена с кухней и дв,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/aellh.html,Purvciems Purvciema 13,3,77,10/12,104-th,"106,000  €"
Pārdošanā investīciju objekts “Hoffmaņa rezidencē” Kuģu ielā 13.,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/dkpxl.html,Agenskalns Kugu 13,2,40,3/6,Recon.,"140,500  €"
Pārdod plašu un ērtu dzīvokli lieliskā vietā. Zemes domājamās da,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhikm.html,Centre Artilerijas 6,4,89,2/4,Pre-war house,"156,000  €"
Īpašniece pārdod mājīgu 2-istabu dzīvokli ar divām izolētām ista,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/ahehj.html,Plyavnieki Zebiekstes 3,2,53,1/9,119-th,"65,500  €"
Ar pilnu virtuves aprīkojumu jau komplektācijā - pārdošanā pēdēj,https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bepmpm.html,Shampeteris-Pleskodale Lielirbes 9a,3,47,3/4,Recon.,"119,000  €"
Pārdod plašu 3 istabu dzīvokli Pūces ielā 49 - lieliska izvēle ģ,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/ahnid.html,Purvciems Puces 49,3,116,1/8,New,"195,000  €"
"Pārdod gaišu un mājīgu 2 istabu dzīvokli Ķengaragā

Pārdod māj",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bedheg.html,Kengarags Latgales 385,2,50,2/3,Stalin project,"60,000  €"
"Pārdod 2 istabu dzīvokli ar balkonu, privāto autostāvvietu un no",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/cojek.html,Zolitude Endzelina 32,2,62,2/5,New,"126,500  €"
"Dzīvoklis pilnībā gatavs dzīvošanai vai izīrēšanai. 

Pirms da",https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/pxdgj.html,Ilguciems Lilijas 15a,3,54,3/5,Chrusch.,"69,500  €"
"Kvalitatīvi izremontēts dzīvoklis. Izlīdzinātas sienas, griesti.",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/alonx.html,Imanta Dammes 29,3,62,8/9,602-th,"79,800  €"
"Lv/eng/ru

Īpašnieki pārdod mājīgu un labi uzturētu 1-istabas",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/ghino.html,Zolitude Lejina 6,1,46,5/10,119-th,"55,000  €"
"Pārdodu 22m2 dzīv. 75m2 zeme, malkas apkure-liels šķūnītis, mazs",https://www.ss.com/msg/en/real-estate/flats/riga/centre/exxxg.html,Centre Matisa 82A,1,22,2/2,Pre-war house,"17,600  €"
Дом на собственном балансе в кватире все есть для проживания,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/fhjcd.html,Plyavnieki Salnas 3,1,32,9/9,602-th,"41,500  €"
"Lat: Plašs dzīvoklis vēsturiskā ēkā, kas atrodas pašā Rīgas cent",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aehkb.html,Centre Dzirnavu 71,5,148,2/5,Recon.,"392,000  €"
Īpašnieks pārdod gaišu 3 istabu dzīvokli ar logiem Austrumu/ Die,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bpmbb.html,Agenskalns Balozhu 28,3,86,1/3,Recon.,"150,000  €"
"Все комнаты изолированные высокие потолки, отличная инфраструкту",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/akkdg.html,Latgales priekshpilset Latgales 180,3,75,5/5,Stalin project,"98,000  €"
"Plašs 4 istabu dzīvoklis par pievilcīgu cenu. 

Ja meklējat mā",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/eejdx.html,Vecmilgravis Atlantijas 8,4,71,1/5,Spec. pr.,"68,000  €"
"Продаётся 3-комнатная квартира 103 серии. 
4-й этаж 5-этажного",https://www.ss.com/msg/en/real-estate/flats/riga/daugavgriva/dnjpb.html,Daugavgriva Birzes 46,3,70,4/5,103-th,"58,000  €"
"Piedāvājumā gaišs un plašs divu līmeņu dzīvoklis, kas atrodas ēk",https://www.ss.com/msg/en/real-estate/flats/riga/tornjakalns/hgcph.html,Tornjakalns Bauskas 149,6,160,3/4,Pre-war house,"131,000  €"
"Saulains dzīvoklis klusā vietā Rīgas centrā. 

Plānojums:

-",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dfnej.html,Centre Etnas 6,1,42,3/6,Spec. pr.,"69,000  €"
Staļina projekta dzīvoklis ar plānotu pilnu ēkas renovāciju 2027,https://www.ss.com/msg/en/real-estate/flats/riga/teika/bexbfo.html,Teika Berzpils 65,1,38,2/2,Stalin project,"39,900  €"
"Pārdodu Kapitāli remontētu dzīvokli Renovētā mājā, kurš ļoti vei",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fpmcg.html,Centre Avotu 66A,2,34,1/5,Recon.,"67,000  €"
"Pārdodu divu līmeņu Dzīvokli ar ideālu lokāciju. 

Plašs divst",https://www.ss.com/msg/en/real-estate/flats/riga/teika/eencd.html,Teika Brivibas g. 281,5,112,5/6,Spec. pr.,"163,000  €"
"4 istabu dzīvoklis ar raksturu un savu stāstu – 92 m². 

Ir dz",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/dbnid.html,Sarkandaugava Patversmes 30,4,92,2/5,Stalin project,"199,000 €"
"Dizainera veidots trīsistabu dzīvoklis Skanstē. 

Viesistaba d",https://www.ss.com/msg/en/real-estate/flats/riga/centre/beefgl.html,Centre Grostonas 21,3,92,2/5,New,"289,000  €"
"Продается 2-х комнатная кв. Комнаты изолированные. Теплая, стекл",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/gbdci.html,Vecmilgravis Kavu 2,2,38,4/5,Lit pr.,"38,000 €"
Piedāvājam iegādei 2-istabu (pēc pārplānošanas pilnvērtīgu 3-ist,https://www.ss.com/msg/en/real-estate/flats/riga/centre/efnoj.html,Centre Brivibas 138,3,65,5/6,Pre-war house,"82,625  €"
Pārdošanā unikāla investīciju iespēja pašā Rīgas centrā - plašs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebdhm.html,Centre Marijas 15,4,115,2/7,Pre-war house,"147,500  €"
Pārdošanā unikāla investīciju iespēja pašā Rīgas centrā - plašs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bffhkn.html,Centre Marijas 15,5,114,2/7,Pre-war house,"147,500  €"
Pārdod 2 istabu dzīvokli Teikā. Dzīvoklim ir ērts un funkcionāls,https://www.ss.com/msg/en/real-estate/flats/riga/teika/hbjpd.html,Teika Vidrizhu 6A,2,50,2/8,Spec. pr.,"65,000  €"
"Pārdošanā ir plašs un tikko izremontēts dzīvoklis, kurā ir 3 ist",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/ahlio.html,Mezhciems Eizenshteina 79,3,63,9/9,602-th,"96,260  €"
Pārdošanā gaišs un īpaši plašs 1 istabas studijas tipa dzīvoklis,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aaohe.html,Centre Latgales 131,1,62,2/4,Pre-war house,"82,800  €"
Pārdošanā gandrīz 100 m² plašs dzīvoklis Āgenskalnā – vēsturiskā,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/abklj.html,Agenskalns Mezha 4A,3,98,4/5,Recon.,"179,800 €"
Pārdodu mājīgu un kvalitatīvi izremontētu dzīvokli 2. stāvā. Kap,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bekkcf.html,Centre Kurbada 16A,2,56,2/5,Pre-war house,"130,000 €"
Iespēja iegādāties plašu un saulainu četru istabu dzīvokli (trīs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/belnpb.html,Centre Mīlenbaha 1,4,67,3/6,Recon.,"220,000  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/fejjg.html,Vecriga Pasta 6,1,24,1/6,Pre-war house,"108,135  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/bcimlk.html,Vecriga Pasta 6,2,40,2/6,Pre-war house,"146,365  €"
Pārdošanā 3 istabu dzīvoklis pirmajā stāvā ar savu individuālu i,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bebeih.html,Kengarags Latgales 119,3,62,1/3,Pre-war house,"37,000  €"
"Pārdod plašu 3 istabu dzīvokli projektā “Skanstes Virsotnes”, Gr",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dbobh.html,Centre Grostonas 25,3,90,17/24,New,"219,000  €"
Pārdodu plašu 2istabu dzīvokli jaunajā projektā Klijānu ielā 6.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcihjc.html,Centre Klijanu 6,2,50,3/9,Recon.,"88,560  €"
Pārdošanā plašs un funkcionāls 3 istabu dzīvoklis iecienītajā 11,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/bmdeg.html,Zolitude Lejina 22,3,82,7/10,119-th,"79,900  €"
Pārdodu divu istabu dzīvokli projektā Mežaparka Village. Augstas,https://www.ss.com/msg/en/real-estate/flats/riga/aplokciems/hbxpc.html,Aplokciems Chiekuru 3A,2,34,2/4,New,"113,500  €"
Pārdod 3 - istabu dzīvokli ērtā lokācijā - Ģenerāļa Radziņa kras,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bkjfc.html,Latgales priekshpilset Radzina 29,3,70,5/6,Recon.,"144,000  €"
"Projekts ""Forburga Nams"" ir dzīvoklis prestižā, aristokrātiskā r",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afoln.html,Centre Ausekla 11,6,180,6/6,Recon.,"160,000  €"
Saimnieks pārdod pilnībā renovētu 2 istabu dzīvokli ar skatu uz,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/edeji.html,Ilguciems Skujenes 11,2,48,2/5,Chrusch.,"62,900 €"
"Dzīvo, sporto, relaksējies pirtī neizejot no mājas, Tobago proje",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/bpkxx.html,Zolitude Liedes 2,4,123,4/4,New,"238,000  €"
Lieliska iespēja iegādāties plašu un elegantu dzīvokli pašā Rīga,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bexxic.html,Centre Terbatas 20,4,110,2/6,Pre-war house,"255,000  €"
"Pārdodam trīsistabu dzīvoki, sagatavotu iekšājai apdare. Ir jau",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/gofpf.html,Purvciems Nicgales 46,3,62,6/9,602-th,"63,500  €"
Attīstītājs “River Properties” pārdod 3 istabu dzīvokli jaunajā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cpgdl.html,Centre Skolas 17,3,62,2/7,New,"216,335  €"
"Tiek piedāvāts gaišs, saulains, mūsdienīgs un mājīgs divu istabu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfckpd.html,Centre Rupniecibas 21,2,74,2/7,Spec. pr.,"250,000  €"
"Tiek piedāvāts gaišs, saulains, mūsdienīgs un mājīgs trīs istabu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/djclh.html,Centre Rupniecibas 21,3,94,2/7,New,"295,000  €"
Vajag plašu dzīvesvietu ar vairākām guļamistabām un domājat par,https://www.ss.com/msg/en/real-estate/flats/riga/darzciems/dhihc.html,Darzciems Rumbulas 16,5,128,5/5,Spec. pr.,"169,500  €"
"Pārdod modernu un plašu 2 istabu dzīvokli, zaļā Torņakalna rajon",https://www.ss.com/msg/en/real-estate/flats/riga/tornjakalns/ekhhb.html,Tornjakalns Koku 1 k-1,2,69,2/3,New,"131,000  €"
Piedāvājumā no attīstītāja 2-istabu dzīvoklis Nr. 55C septītajā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adcmx.html,Centre Pulkv. Briezha 15,3,42,7/7,Recon.,"117,600  €"
Pārdodam lielisku studijas dzivokli Rīgas centrā pilnībā renovēt,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aecnm.html,Centre Merkela 7,1,24,2/5,Recon.,"89,900  €"
Plašs un gaišs 3-istabu dzīvoklis Teikā ar terasi - Monrepo namā,https://www.ss.com/msg/en/real-estate/flats/riga/teika/eflbl.html,Teika Caunes 3,3,80,1/3,New,"210,000 €"
"3- istabu dzīvoklis ar privātmājas sajūtu. 

Dzīvoklis ar savu",https://www.ss.com/msg/en/real-estate/flats/riga/katlakalns/fpiex.html,Katlakalns Ziepniekkalna 2,3,97,1/3,New,"169,800 €"
Продается просторная 1-комнатная квартира с удобной планировкой,https://www.ss.com/msg/en/real-estate/flats/riga/breksi/ccpijg.html,Breksi Bikernieku 220,1,35,4/5,103-th,"29,000 €"
"Labiekārtots un mājīgs dzīvoklis, kas neprasa papildus ieguldīju",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/hbgig.html,Plyavnieki Kaudzisu 48,2,51,3/9,602-th,"65,500  €"
"Pārdod mājīgu un mēbelētu 2 istabu dzīvokli renovētā Mājā. 
Dzī",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/belcef.html,Sarkandaugava Ganibu d. 31b,2,40,4/5,Recon.,"60,900  €"
"Pārdod mājīgu un mēbelētu 2 istabu Dzīvokli. 
Ēka celta 1994. g",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/hggck.html,Sarkandaugava Aptiekas 17B,2,22,2/2,Recon.,"42,700  €"
"Dzīvoklis ar visekskluzīvāko remontu Ziepniekkalnā. 

Plānojum",https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/dbifi.html,Ziepniekkalns Valdeku 68 k-2,4,80,4/9,602-th,"134,999  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/ecjpd.html,Vecriga Pasta 6,1,19,3/6,Pre-war house,"81,175  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/ajfic.html,Vecriga Pasta 6,1,23,2/6,Pre-war house,"91,125  €"
Pārdodu dzīvokli izcilā vietā. Nav nolaists bet remonts būs vaja,https://www.ss.com/msg/en/real-estate/flats/riga/teika/bbjfok.html,Teika Burtnieku 21,1,38,2/2,Pre-war house,"50,000  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/ogdkn.html,Vecriga Pasta 6,1,20,2/6,Pre-war house,"76,230  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/bchpdo.html,Vecriga Pasta 6,1,18,2/6,Pre-war house,"72,900  €"
"Īpašnieks pārdod 2 istabu dzīvokli Sarkandaugavā. 

Dzīvoklis",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/ammem.html,Sarkandaugava Duntes 31,2,44,2/5,Pre-war house,"37,000  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/bxkjk.html,Vecriga Pasta 6,1,18,3/6,Pre-war house,"76,500  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/bcopkn.html,Vecriga Pasta 6,2,41,3/6,Pre-war house,"133,980  €"
Attīstītājs piedāvā dzīvokļu īpašumos sadalītus pelnošus investī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/nlxkh.html,Vecriga Pasta 6,1,21,3/6,Pre-war house,"81,620  €"
"Foršs variants sev vai izīrēšanai. 

Izdevīga lokācija, nav pi",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bicenc.html,Kengarags Prushu 26,1,21,2/3,Recon.,"45,000  €"
"Atīstītājs pārdod 4 istabu dzīvokli renovētā projektā ""Šefela na",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dkmce.html,Centre Baznicas 5,4,94,2/4,Recon.,"254,610  €"
"Atīstītājs pārdod 4 istabu dzīvokli renovētā projektā ""Šefela na",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fhiom.html,Centre Baznicas 5,4,97,1/4,Recon.,"237,160  €"
Īpašnieks pārdod plašu divu līmeņu 5 istabu dzīvokli ar lielu te,https://www.ss.com/msg/en/real-estate/flats/riga/yugla/ggokl.html,Yugla Juglas 21A,5,159,1/2,New,"385,000 €"
Pārdošanā izsmalcināts dizaina dzīvoklis prestižajā Forburgas kv,https://www.ss.com/msg/en/real-estate/flats/riga/centre/beidbl.html,Centre Eksporta 4,6,205,2/6,Recon.,"690,000  €"
Tiek pārdots skaists un mājīgs 4-istabu dzīvoklis vēsturiskā ēkā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ejmgc.html,Centre Stabu 53,4,92,4/5,Pre-war house,"185,000  €"
"Pārdod plašu un gaišu 3 istabu dzīvokli, kas atrodas ērtā un lie",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/onjbm.html,Plyavnieki Tinuzhu 4,3,63,1/9,602-th,"83,000  €"
Tiek pārdots plašs remontējams 4 istabu dzīvoklis ar lielisku au,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/aojmn.html,Imanta Dammes 29,4,75,7/9,602-th,"73,000  €"
"Pārdošanā dzīvoklis pēc kapitālā remonta. 
Nomainīti logi, kuri",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/hheee.html,Plyavnieki Dzenu 14,1,42,3/9,Sm.fam.,"60,000  €"
"Pārdošanā dzīvoklis pēc kapitālā remonta. 
Nomainīti logi, kuri",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/exdpb.html,Mezhciems Hipokrata 23,1,35,8/9,602-th,"57,000  €"
"Без посредников. Продаётся квартира. 119-я серия. Rīgā, Zolitūde",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/ahfbp.html,Zolitude Gramzdas 17,1,46,7/9,119-th,"60,000  €"
"Divistabu dzīvoklis kvalitatīvā pirmskara mūra ēkā, Hertela namā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfdnbg.html,Centre Brivibas 138,2,62,2/6,Pre-war house,"75,720  €"
Pārdod kompakti un pārdomāti pārplānotu 2 istabu dzīvokli Mangaļ,https://www.ss.com/msg/en/real-estate/flats/riga/mangali/ibebc.html,Mangali Mores 3,2,31,1/5,Chrusch.,"31,500  €"
"Pārdošanā saulains, gaišs 3-istabu dzīvoklis Vecmīlgrāvī. 

Ad",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/lncpb.html,Vecmilgravis Kavu 5,3,60,1/2,Stalin project,"55,000  €"
"Attīstītājs tirgo 1-istabu dzīvokli (bez mēbelēm), kas atrodas p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/egknf.html,Centre Alauksta 7,1,37,1/2,Recon.,"95,000  €"
"Attīstītājs tirgo 1-istabas dzīvokli renovētā projektā. 
Iespēj",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bgckd.html,Centre Bruninieku 93c,1,30,1/2,Recon.,"85,000  €"
